Genus_&_Specie,Time_(Ma),Location,Zone,Current_Country,Habitat,Cranial_Capacity_(cm³),Height_(cm),Incisor_Size,Jaw_Shape,Torus_Supraorbital,Prognathism,Foramen_Mágnum_Position,Canine Size,Canines_Shape,Tooth_Enamel,Tecno,Tecno_type,biped,Arms,Foots,Diet,Sexual_Dimorphism,Hip,Vertical_Front,Anatomy,Migrated,Skeleton,Cranial_Capacity_normalized,Height_normalized,Time_years,full_address,Latitude,Longitude
Homo Georgicus,2.35232182,Asia ,west,Georgia,savannah,782.23295,146.39304,medium large,U shape,very protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust,0.5400678792955913,0.791393082928045,2352321.82,Georgia,32.3293809,-83.1137366
Homo Georgicus,1.71375996,Asia ,west,Georgia,savannah,639.26568,150.44613,medium large,U shape,very protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust,0.4413606715289277,0.8133038745236347,1713759.96,Georgia,32.3293809,-83.1137366
Homo Heidelbergensis,0.87410472,Europa,central,Germany,cold forest,1383.91548,178.55492,small,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 2,modern,manipulate,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust,0.9554804593797032,0.9652585164620562,874104.72,Germany,51.1638175,10.4478313
Australopithecus Bahrelghazali,3.50912466,Africa,central,Republic of Chad,mixed,216.64736,119.22548,small,U shape,very protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,climbing,dry fruits,high,slim,no,old,no,light,0.1495772841967198,0.6445266809185461,3509124.6599999997,Republic of Chad,15.6134137,19.0156172
Australopithecus Sediba,2.17790007,Africa,south,South Africa,mixed,509.74221,107.45296,small,U shape,very protruding,medium-high,anterior,small,conicalls,medium-thin,no,no,yes,climbing,walk,soft fruits,high,slim,no,old,no,light,0.35193530819962004,0.5808850563124033,2177900.0700000003,South Africa,-28.8166236,24.991639
Paranthropus Robustus,2.50726587,Africa,south,South Africa,jungle,475.66438,110.61038,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust,0.3284073535422566,0.5979539029454035,2507265.87,South Africa,-28.8166236,24.991639
Australopithecus Sediba,1.66905064,Africa,south,South Africa,mixed,323.8573,114.88153,small,U shape,very protruding,medium-high,anterior,small,conicalls,medium-thin,no,no,yes,climbing,walk,soft fruits,high,slim,no,old,no,light,0.22359697990911293,0.6210435154443864,1669050.6400000001,South Africa,-28.8166236,24.991639
Homo Naledi,0.48596666,Africa,south,South Africa,jungle,321.2542,127.6231,big,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,no,no,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light,0.2217997522461842,0.6899237734378231,485966.66,South Africa,-28.8166236,24.991639
hominino Sahelanthropus tchadensis,6.91724922,Africa,central,Republic of Chad,mixed,234.54749,82.80367,small,conical,very protruding,high,posterior,small,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light,0.16193586005090163,0.4476322896160669,6917249.220000001,Republic of Chad,15.6134137,19.0156172
Homo Ergaster,1.37680966,Africa,oriental,Kenya,savannah,841.84333,154.35097,very small,modern,very protruding,reduced,modern,small,incisiform,medium-thin,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,modern,modern,modern,yes,robust,0.5812239716215467,0.8344132344080987,1376809.66,Kenya,1.4419683,38.4313975
Homo Erectus,1.5621585,Asia ,west,Indonesia,savannah,1195.23014,166.73626,very small,modern,little protruding,reduced,modern,small,incisiform,thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust,0.8252086631993356,0.9013674614400524,1562158.5,Indonesia,-2.4833826,117.8902853
Homo Sapiens,0.57960525,Africa,oriental,Kenya,savannah,1335.09806,170.1632,very small,modern,flat,absent,modern,small,incisiform,very thin,yes,mode 4,modern,manipulate with precision,walk,carnivorous,reduced,very modern,modern,very modern,yes,refined,0.9217760232624543,0.9198933190328002,579605.25,Kenya,1.4419683,38.4313975
Australopithecus Africanus,4.06409675,Africa,south,South Africa,forest-gallery,657.99615,116.41582,small,conical,very protruding,medium-high,anterior,small,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,yes,old,no,light,0.4542925292461329,0.6293378065746592,4064096.75,South Africa,-28.8166236,24.991639
Australopithecus Garhi,3.06938989,Africa,oriental,Ethiopia,mixed,436.09531,110.79834,big,U shape,very protruding,medium-high,anterior,big,conicalls,thick,likely,primitive,yes,climbing,walk,omnivore,high,slim,no,old,no,light,0.3010881467502149,0.598970004830214,3069389.89,Ethiopia,10.2116702,38.6521203
Homo Antecesor,1.15939522,Europa,west,Spain,savannah,1003.21628,178.60461,medium large,U shape,little protruding,medium,modern,big,incisiform,medium-thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,mixed,yes,light,0.6926387961724345,0.9655271379914041,1159395.22,Spain,39.3260685,-4.8379791
Australopithecus Garhi,2.5614681,Africa,oriental,Ethiopia,mixed,367.20481,127.59276,big,U shape,very protruding,medium-high,anterior,big,conicalls,thick,likely,primitive,yes,climbing,walk,omnivore,high,slim,no,old,no,light,0.2535248905122708,0.6897597569918498,2561468.1,Ethiopia,10.2116702,38.6521203
Homo Floresiensis,0.61243749,Asia ,oriental,Indonesia,peninsular,300.02,109.86341,small,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,yes,mode 1,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light,0.2071392737243596,0.5939158223702972,612437.49,Indonesia,-2.4833826,117.8902853
Homo Floresiensis,0.15337673,Asia ,oriental,Indonesia,peninsular,273.54613,102.13065,small,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,yes,mode 1,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light,0.18886123157892562,0.5521129280800859,153376.72999999998,Indonesia,-2.4833826,117.8902853
Homo Antecesor,0.89384803,Europa,west,Spain,savannah,1158.09245,165.15734,medium large,U shape,little protruding,medium,modern,big,incisiform,medium-thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,mixed,yes,light,0.7995681254538507,0.8928319028745856,893848.03,Spain,39.3260685,-4.8379791
hominino Sahelanthropus tchadensis,7.08435084,Africa,central,Republic of Chad,mixed,172.54631,94.88896,small,conical,very protruding,high,posterior,small,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light,0.11912911584967073,0.5129647324096551,7084350.84,Republic of Chad,15.6134137,19.0156172
Paranthropus Boisei,2.58818677,Africa,oriental,Ethiopia,forest,589.08789,102.24179,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust,0.4067170111806395,0.5527137450809256,2588186.77,Ethiopia,10.2116702,38.6521203
Homo Floresiensis,0.74517295,Asia ,oriental,Indonesia,peninsular,183.70606,100.24834,small,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,yes,mode 1,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light,0.12683401055650836,0.5419372591143599,745172.95,Indonesia,-2.4833826,117.8902853
Paranthropus Aethiopicus,2.35403123,Africa,oriental,Kenya,forest-savanna,565.85665,102.59752,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust,0.39067773986100646,0.5546368027713049,2354031.23,Kenya,1.4419683,38.4313975
Paranthropus Aethiopicus,2.36622862,Africa,oriental,Kenya,forest-savanna,571.06856,100.11465,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust,0.39427613747488804,0.5412145379982696,2366228.6199999996,Kenya,1.4419683,38.4313975
hominino Orrorin tugenencin,6.03919957,Africa,oriental,Kenya,forest,143.28132,115.46518,small,conical,very protruding,high,posterior,big,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light,0.09892403360798468,0.6241986966801266,6039199.57,Kenya,1.4419683,38.4313975
Homo Antecesor,1.14733981,Europa,west,Spain,savannah,1151.71243,176.58652,medium large,U shape,little protruding,medium,modern,big,incisiform,medium-thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,mixed,yes,light,0.7951632434154969,0.9546174494793938,1147339.81,Spain,39.3260685,-4.8379791
Australopithecus Garhi,2.94898794,Africa,oriental,Ethiopia,mixed,517.43487,117.12336,big,U shape,very protruding,medium-high,anterior,big,conicalls,thick,likely,primitive,yes,climbing,walk,omnivore,high,slim,no,old,no,light,0.35724646080747435,0.6331627306413697,2948987.94,Ethiopia,10.2116702,38.6521203
Homo Antecesor,1.53535211,Europa,west,Spain,savannah,992.53649,178.47786,medium large,U shape,little protruding,medium,modern,big,incisiform,medium-thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,mixed,yes,light,0.6852652745934442,0.9648419341506945,1535352.11,Spain,39.3260685,-4.8379791
Australopithecus Bahrelghazali,3.84117984,Africa,central,Republic of Chad,mixed,395.05409,117.9543,small,U shape,very protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,climbing,dry fruits,high,slim,no,old,no,light,0.2727525407787408,0.6376547486247945,3841179.8400000003,Republic of Chad,15.6134137,19.0156172
Australopithecus Anamensis,4.7420149,Africa,oriental,Kenya,forest-gallery,389.87092,116.10722,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,no,mixed,no,light,0.2691739857844408,0.6276695311881273,4742014.9,Kenya,1.4419683,38.4313975
Homo Rudolfensis,2.96696327,Africa,oriental,Kenya,savannah,716.94686,127.57299,small,U shape,less protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,walk,hard fruits,high,slim,no,mixed,no,refined,0.4949931733863081,0.6896528814105415,2966963.27,Kenya,1.4419683,38.4313975
Homo Antecesor,1.64477272,Europa,west,Spain,savannah,1049.49404,173.8645,medium large,U shape,little protruding,medium,modern,big,incisiform,medium-thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,mixed,yes,light,0.7245898047584963,0.9399023523710079,1644772.72,Spain,39.3260685,-4.8379791
Homo Rodhesiensis,0.30889292,Africa,oriental,Ethiopia,savannah,1034.71434,147.65673,big,U shape,less protruding,medium-high,modern,big,incisiform,medium-thick,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,slim,yes,mixed,no,robust,0.7143856306238922,0.7982245246753121,308892.92000000004,Ethiopia,10.2116702,38.6521203
Australopithecus Anamensis,4.37140113,Africa,oriental,Kenya,forest-gallery,223.38432,116.79823,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,no,mixed,no,light,0.1542286041137589,0.6314050949433038,4371401.13,Kenya,1.4419683,38.4313975
"Homo Neanderthalensis
",0.74857103,Europa,central,Germany,cold forest,1109.61703,168.81803,big,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 3,modern,manipulate with precision,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust,0.7660998123671122,0.9126214006863931,748571.03,Germany,51.1638175,10.4478313
Homo Heidelbergensis,0.86705743,Europa,central,Germany,cold forest,1164.82581,176.86889,small,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 2,modern,manipulate,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust,0.8042169598653055,0.956143926864018,867057.43,Germany,51.1638175,10.4478313
Homo Erectus,1.18524445,Asia ,west,Indonesia,savannah,1167.68845,168.27423,very small,modern,little protruding,reduced,modern,small,incisiform,thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust,0.8061933786724993,0.9096816464569826,1185244.45,Indonesia,-2.4833826,117.8902853
Homo Habilis,2.42167783,Africa,oriental,Ethiopia,savannah,749.05594,133.98367,small,U shape,little protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,yes,modern,yes,robust,0.5171618671772465,0.724308680681225,2421677.83,Ethiopia,10.2116702,38.6521203
Paranthropus Aethiopicus,3.18558451,Africa,oriental,Kenya,forest-savanna,392.93833,100.83777,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust,0.2712917815301072,0.5451236867264259,3185584.51,Kenya,1.4419683,38.4313975
hominino Orrorin tugenencin,6.47841906,Africa,oriental,Kenya,forest,78.30257,119.79163,small,conical,very protruding,high,posterior,big,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light,0.05406152083378052,0.647587258073715,6478419.0600000005,Kenya,1.4419683,38.4313975
Homo Floresiensis,0.90156083,Asia ,oriental,Indonesia,peninsular,418.95683,102.91553,small,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,yes,mode 1,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light,0.28925542793167125,0.556355948123447,901560.83,Indonesia,-2.4833826,117.8902853
Homo Erectus,1.59058112,Asia ,west,Indonesia,savannah,1049.19745,166.97536,very small,modern,little protruding,reduced,modern,small,incisiform,thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust,0.7243850336192591,0.9026600234780299,1590581.1199999999,Indonesia,-2.4833826,117.8902853
"Homo Neanderthalensis
",0.4168211,Europa,central,Germany,cold forest,1190.54015,156.07939,big,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 3,modern,manipulate with precision,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust,0.8219706086617232,0.8437569821190178,416821.1,Germany,51.1638175,10.4478313
Homo Sapiens,0.20811755,Africa,oriental,Kenya,savannah,1143.29375,174.5132,very small,modern,flat,absent,modern,small,incisiform,very thin,yes,mode 4,modern,manipulate with precision,walk,carnivorous,reduced,very modern,modern,very modern,yes,refined,0.7893508333731072,0.9434091904891004,208117.55000000002,Kenya,1.4419683,38.4313975
Australopithecus Anamensis,4.21669276,Africa,oriental,Kenya,forest-gallery,450.69612,112.55916,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,no,mixed,no,light,0.3111688119698248,0.6084889052388767,4216692.76,Kenya,1.4419683,38.4313975
Homo Rodhesiensis,0.46891272,Africa,oriental,Ethiopia,savannah,1176.03396,159.95932,big,U shape,less protruding,medium-high,modern,big,incisiform,medium-thick,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,slim,yes,mixed,no,robust,0.8119552708138877,0.864731679852223,468912.72000000003,Ethiopia,10.2116702,38.6521203
Paranthropus Boisei,2.31127223,Africa,oriental,Ethiopia,forest,516.91267,113.67667,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust,0.3568859244141044,0.6145301055862629,2311272.23,Ethiopia,10.2116702,38.6521203
Homo Georgicus,2.29962859,Asia ,west,Georgia,savannah,795.29484,155.09225,medium large,U shape,very protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust,0.5490860461113619,0.8384205551421507,2299628.5900000003,Georgia,32.3293809,-83.1137366
Australopithecus Sediba,2.51934151,Africa,south,South Africa,mixed,294.31581,105.74466,small,U shape,very protruding,medium-high,anterior,small,conicalls,medium-thin,no,no,yes,climbing,walk,soft fruits,high,slim,no,old,no,light,0.20320099703018674,0.5716500762644038,2519341.51,South Africa,-28.8166236,24.991639
Australopithecus Sediba,2.33957648,Africa,south,South Africa,mixed,317.94202,111.91669,small,U shape,very protruding,medium-high,anterior,small,conicalls,medium-thin,no,no,yes,climbing,walk,soft fruits,high,slim,no,old,no,light,0.21951296283333055,0.6050157461734677,2339576.48,South Africa,-28.8166236,24.991639
Paranthropus Boisei,2.55788654,Africa,oriental,Ethiopia,forest,542.27942,110.08031,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust,0.37439959074217377,0.5950883723746354,2557886.54,Ethiopia,10.2116702,38.6521203
Homo Rudolfensis,3.13258627,Africa,oriental,Kenya,savannah,797.44181,137.11204,small,U shape,less protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,walk,hard fruits,high,slim,no,mixed,no,refined,0.5505683533125751,0.741220484540477,3132586.27,Kenya,1.4419683,38.4313975
Homo Naledi,0.73385382,Africa,south,South Africa,jungle,312.73758,128.79678,big,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,no,no,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light,0.21591972264353648,0.696268625854106,733853.82,South Africa,-28.8166236,24.991639
Homo Georgicus,1.52884019,Asia ,west,Georgia,savannah,729.72588,150.66919,medium large,U shape,very protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust,0.5038160416007906,0.814509725164334,1528840.19,Georgia,32.3293809,-83.1137366
Homo Erectus,1.84700256,Asia ,west,Indonesia,savannah,1124.31375,163.57651,very small,modern,little protruding,reduced,modern,small,incisiform,thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust,0.7762466955979976,0.8842860189494677,1847002.56,Indonesia,-2.4833826,117.8902853
Australopithecus Africanus,3.89726363,Africa,south,South Africa,forest-gallery,623.46392,104.69878,small,conical,very protruding,medium-high,anterior,small,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,yes,old,no,light,0.43045084855057086,0.5659961039336647,3897263.63,South Africa,-28.8166236,24.991639
Homo Ergaster,1.43157625,Africa,oriental,Kenya,savannah,723.07562,161.95788,very small,modern,very protruding,reduced,modern,small,incisiform,medium-thin,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,modern,modern,modern,yes,robust,0.4992245809432406,0.8755357902103157,1431576.25,Kenya,1.4419683,38.4313975
Australopithecus Anamensis,4.39893936,Africa,oriental,Kenya,forest-gallery,494.63283,126.12105,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,no,mixed,no,light,0.3415035169869497,0.6818037700537,4398939.36,Kenya,1.4419683,38.4313975
Homo Erectus,1.69796234,Asia ,west,Indonesia,savannah,1122.06574,167.53099,very small,modern,little protruding,reduced,modern,small,incisiform,thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust,0.7746946285400512,0.9056637300659066,1697962.3399999999,Indonesia,-2.4833826,117.8902853
Australopithecus Garhi,3.18871916,Africa,oriental,Ethiopia,mixed,377.62816,129.70696,big,U shape,very protruding,medium-high,anterior,big,conicalls,thick,likely,primitive,yes,climbing,walk,omnivore,high,slim,no,old,no,light,0.26072136124347134,0.7011890111143577,3188719.16,Ethiopia,10.2116702,38.6521203
Paranthropus Boisei,2.40457706,Africa,oriental,Ethiopia,forest,504.17145,106.16944,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust,0.34808915400825713,0.5739464146269802,2404577.0599999996,Ethiopia,10.2116702,38.6521203
"Homo Neanderthalensis
",0.19759449,Europa,central,Germany,cold forest,1248.13079,165.85522,big,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 3,modern,manipulate with precision,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust,0.8617322356963243,0.8966046054888207,197594.49000000002,Germany,51.1638175,10.4478313
Homo Sapiens,0.68986675,Africa,oriental,Kenya,savannah,1224.35483,174.2106,very small,modern,flat,absent,modern,small,incisiform,very thin,yes,mode 4,modern,manipulate with precision,walk,carnivorous,reduced,very modern,modern,very modern,yes,refined,0.845316879765055,0.9417733507873357,689866.75,Kenya,1.4419683,38.4313975
Homo Ergaster,1.53059077,Africa,oriental,Kenya,savannah,809.13193,158.7222,very small,modern,very protruding,reduced,modern,small,incisiform,medium-thin,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,modern,modern,modern,yes,robust,0.5586394251296227,0.8580438741290004,1530590.77,Kenya,1.4419683,38.4313975
hominino Orrorin tugenencin,5.70355868,Africa,oriental,Kenya,forest,263.17671,124.7988,small,conical,very protruding,high,posterior,big,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light,0.18170199510221458,0.6746557560231039,5703558.680000001,Kenya,1.4419683,38.4313975
Homo Naledi,0.16467346,Africa,south,South Africa,jungle,342.94222,126.2283,big,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,no,no,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light,0.23677355636364097,0.6823835579189157,164673.46,South Africa,-28.8166236,24.991639
Australopithecus Anamensis,4.31109199,Africa,oriental,Kenya,forest-gallery,441.73797,123.48291,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,no,mixed,no,light,0.30498394201144247,0.6675421238183613,4311091.99,Kenya,1.4419683,38.4313975
Homo Rudolfensis,2.75262286,Africa,oriental,Kenya,savannah,666.95672,127.84838,small,U shape,less protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,walk,hard fruits,high,slim,no,mixed,no,refined,0.46047907001660254,0.6911416252818864,2752622.86,Kenya,1.4419683,38.4313975
Homo Naledi,0.9800592,Africa,south,South Africa,jungle,491.6949,136.20091,big,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,no,no,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light,0.33947511659213264,0.7362949636301369,980059.2000000001,South Africa,-28.8166236,24.991639
Homo Sapiens,0.88183391,Africa,oriental,Kenya,savannah,1136.319,168.85915,very small,modern,flat,absent,modern,small,incisiform,very thin,yes,mode 4,modern,manipulate with precision,walk,carnivorous,reduced,very modern,modern,very modern,yes,refined,0.7845353389080415,0.9128436932459985,881833.91,Kenya,1.4419683,38.4313975
Homo Habilis,3.13407035,Africa,oriental,Ethiopia,savannah,719.61953,131.77206,small,U shape,little protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,yes,modern,yes,robust,0.49683843344465384,0.7123528332165199,3134070.35,Ethiopia,10.2116702,38.6521203
Homo Rodhesiensis,0.49252516,Africa,oriental,Ethiopia,savannah,1085.43931,156.79285,big,U shape,less protruding,medium-high,modern,big,incisiform,medium-thick,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,slim,yes,mixed,no,robust,0.7494070740126326,0.8476139093946987,492525.16000000003,Ethiopia,10.2116702,38.6521203
Homo Georgicus,1.58613289,Asia ,west,Georgia,savannah,859.56962,141.82124,medium large,U shape,very protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust,0.5934625251727345,0.7666781723248466,1586132.8900000001,Georgia,32.3293809,-83.1137366
Homo Habilis,2.6375123,Africa,oriental,Ethiopia,savannah,696.90055,134.82754,small,U shape,little protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,yes,modern,yes,robust,0.48115283576130513,0.7288705975653235,2637512.3,Ethiopia,10.2116702,38.6521203
Paranthropus Boisei,2.0876939,Africa,oriental,Ethiopia,forest,598.42767,111.93109,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust,0.41316536544350635,0.6050935918169092,2087693.9000000001,Ethiopia,10.2116702,38.6521203
Homo Antecesor,0.78334843,Europa,west,Spain,savannah,893.55674,169.43729,medium large,U shape,little protruding,medium,modern,big,incisiform,medium-thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,mixed,yes,light,0.6169278519935553,0.9159690877112272,783348.4299999999,Spain,39.3260685,-4.8379791
Homo Habilis,2.56015015,Africa,oriental,Ethiopia,savannah,836.9592,126.72594,small,U shape,little protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,yes,modern,yes,robust,0.5778518792911175,0.6850737736135164,2560150.15,Ethiopia,10.2116702,38.6521203
Homo Habilis,2.84265962,Africa,oriental,Ethiopia,savannah,693.44711,137.05753,small,U shape,little protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,yes,modern,yes,robust,0.47876851787099567,0.740925806344366,2842659.62,Ethiopia,10.2116702,38.6521203
Australopithecus Bahrelghazali,4.0283105,Africa,central,Republic of Chad,mixed,181.81922,127.7687,small,U shape,very protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,climbing,dry fruits,high,slim,no,old,no,light,0.12553130184630878,0.6907108793881764,4028310.5,Republic of Chad,15.6134137,19.0156172
Homo Ergaster,1.88310058,Africa,oriental,Kenya,savannah,825.81352,156.18766,very small,modern,very protruding,reduced,modern,small,incisiform,medium-thin,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,modern,modern,modern,yes,robust,0.5701566987686053,0.8443422840506439,1883100.58,Kenya,1.4419683,38.4313975
Australopithecus Anamensis,3.91965405,Africa,oriental,Kenya,forest-gallery,331.74864,121.42651,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,no,mixed,no,light,0.22904530480849294,0.6564253334591117,3919654.0500000003,Kenya,1.4419683,38.4313975
Homo Georgicus,1.78532512,Asia ,west,Georgia,savannah,842.21461,144.20783,medium large,U shape,very protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust,0.5814803100974761,0.7795799524763158,1785325.1199999999,Georgia,32.3293809,-83.1137366
Paranthropus Aethiopicus,2.43181087,Africa,oriental,Kenya,forest-savanna,456.92758,114.91064,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust,0.31547112547773226,0.6212008825749825,2431810.87,Kenya,1.4419683,38.4313975
Homo Erectus,1.39259858,Asia ,west,Indonesia,savannah,1048.61574,166.1461,very small,modern,little protruding,reduced,modern,small,incisiform,thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust,0.723983410437744,0.8981770874863398,1392598.58,Indonesia,-2.4833826,117.8902853
Homo Georgicus,2.01269914,Asia ,west,Georgia,savannah,684.82454,150.3876,medium large,U shape,very protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust,0.47281533845816504,0.8129874644187295,2012699.1400000001,Georgia,32.3293809,-83.1137366
"Homo Neanderthalensis
",0.32062102,Europa,central,Germany,cold forest,969.36611,151.2973,big,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 3,modern,manipulate with precision,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust,0.6692680221265507,0.8179052548242,320621.01999999996,Germany,51.1638175,10.4478313
Homo Habilis,2.79370781,Africa,oriental,Ethiopia,savannah,893.3288,130.89406,small,U shape,little protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,yes,modern,yes,robust,0.6167704780649748,0.70760641134557,2793707.81,Ethiopia,10.2116702,38.6521203
